chr_name	begin	end	overlap_count	p-value
chr16	0	10000000	0	1.000000
chr16	10000000	20000000	0	1.000000
chr16	20000000	30000000	0	1.000000
chr16	30000000	40000000	0	1.000000
chr16	40000000	50000000	0	1.000000
chr16	50000000	60000000	0	1.000000
chr16	60000000	70000000	0	1.000000
chr16	70000000	80000000	0	1.000000
chr16	80000000	90000000	0	1.000000
chr16	90000000	90354753	0	1.000000
chr17	0	10000000	0	1.000000
chr17	10000000	20000000	0	1.000000
chr17	20000000	30000000	0	1.000000
chr17	30000000	40000000	3	0.066905
chr17	40000000	50000000	2	0.059688
chr17	50000000	60000000	3	0.119339
chr17	60000000	70000000	6	0.024964
chr17	70000000	80000000	0	1.000000
chr17	80000000	81195210	0	1.000000
chr18	0	10000000	0	1.000000
chr18	10000000	20000000	0	1.000000
chr18	20000000	30000000	0	1.000000
chr18	30000000	40000000	0	1.000000
chr18	40000000	50000000	0	1.000000
chr18	50000000	60000000	0	1.000000
chr18	60000000	70000000	0	1.000000
chr18	70000000	78077248	0	1.000000
chr19	0	10000000	0	1.000000
chr19	10000000	20000000	0	1.000000
chr19	20000000	30000000	1	0.051931
chr19	30000000	40000000	3	0.072214
chr19	40000000	50000000	1	0.036470
chr19	50000000	59128983	0	1.000000
chr2	0	10000000	0	1.000000
chr2	10000000	20000000	0	1.000000
chr2	20000000	30000000	0	1.000000
chr2	30000000	40000000	0	1.000000
chr2	40000000	50000000	0	1.000000
chr2	50000000	60000000	0	1.000000
chr2	60000000	70000000	0	1.000000
chr2	70000000	80000000	0	1.000000
chr2	80000000	90000000	0	1.000000
chr2	90000000	100000000	0	1.000000
chr2	100000000	110000000	0	1.000000
chr2	110000000	120000000	0	1.000000
chr2	120000000	130000000	0	1.000000
chr2	130000000	140000000	0	1.000000
chr2	140000000	150000000	0	1.000000
chr2	150000000	160000000	0	1.000000
chr2	160000000	170000000	0	1.000000
chr2	170000000	180000000	0	1.000000
chr2	180000000	190000000	0	1.000000
chr2	190000000	200000000	0	1.000000
chr2	200000000	210000000	0	1.000000
chr2	210000000	220000000	0	1.000000
chr2	220000000	230000000	0	1.000000
chr2	230000000	240000000	0	1.000000
chr2	240000000	243199373	0	1.000000
chr20	0	10000000	0	1.000000
chr20	10000000	20000000	0	1.000000
chr20	20000000	30000000	0	1.000000
chr20	30000000	40000000	0	1.000000
chr20	40000000	50000000	6	0.134758
chr20	50000000	60000000	3	0.144772
chr20	60000000	63025520	2	0.045245
chr21	0	10000000	0	1.000000
chr21	10000000	20000000	0	1.000000
chr21	20000000	30000000	0	1.000000
chr21	30000000	40000000	0	1.000000
chr21	40000000	48129895	0	1.000000
chr22	0	10000000	0	1.000000
chr22	10000000	20000000	0	1.000000
chr22	20000000	30000000	0	1.000000
chr22	30000000	40000000	0	1.000000
chr22	40000000	50000000	0	1.000000
chr22	50000000	51304566	0	1.000000
chr3	0	10000000	0	1.000000
chr3	10000000	20000000	0	1.000000
chr3	20000000	30000000	0	1.000000
chr3	30000000	40000000	0	1.000000
chr3	40000000	50000000	0	1.000000
chr3	50000000	60000000	0	1.000000
chr3	60000000	70000000	0	1.000000
chr3	70000000	80000000	0	1.000000
chr3	80000000	90000000	0	1.000000
chr3	90000000	100000000	0	1.000000
chr3	100000000	110000000	0	1.000000
chr3	110000000	120000000	0	1.000000
chr3	120000000	130000000	0	1.000000
chr3	130000000	140000000	0	1.000000
chr3	140000000	150000000	0	1.000000
chr3	150000000	160000000	0	1.000000
chr3	160000000	170000000	1	0.034969
chr3	170000000	180000000	0	1.000000
chr3	180000000	190000000	0	1.000000
chr3	190000000	198022430	1	0.043451
chr4	0	10000000	0	1.000000
chr4	10000000	20000000	0	1.000000
chr4	20000000	30000000	0	1.000000
chr4	30000000	40000000	0	1.000000
chr4	40000000	50000000	0	1.000000
chr4	50000000	60000000	0	1.000000
chr4	60000000	70000000	0	1.000000
chr4	70000000	80000000	0	1.000000
chr4	80000000	90000000	0	1.000000
chr4	90000000	100000000	0	1.000000
chr4	100000000	110000000	0	1.000000
chr4	110000000	120000000	0	1.000000
chr4	120000000	130000000	0	1.000000
chr4	130000000	140000000	0	1.000000
chr4	140000000	150000000	0	1.000000
chr4	150000000	160000000	0	1.000000
chr4	160000000	170000000	0	1.000000
chr4	170000000	180000000	0	1.000000
chr4	180000000	190000000	0	1.000000
chr4	190000000	191154276	0	1.000000
chr5	0	10000000	0	1.000000
chr5	10000000	20000000	0	1.000000
chr5	20000000	30000000	0	1.000000
chr5	30000000	40000000	0	1.000000
chr5	40000000	50000000	0	1.000000
chr5	50000000	60000000	0	1.000000
chr5	60000000	70000000	0	1.000000
chr5	70000000	80000000	0	1.000000
chr5	80000000	90000000	0	1.000000
chr5	90000000	100000000	0	1.000000
chr5	100000000	110000000	0	1.000000
chr5	110000000	120000000	0	1.000000
chr5	120000000	130000000	0	1.000000
chr5	130000000	140000000	0	1.000000
chr5	140000000	150000000	0	1.000000
chr5	150000000	160000000	0	1.000000
chr5	160000000	170000000	0	1.000000
chr5	170000000	180000000	0	1.000000
chr5	180000000	180915260	0	1.000000
chr6	0	10000000	0	1.000000
chr6	10000000	20000000	0	1.000000
chr6	20000000	30000000	0	1.000000
chr6	30000000	40000000	1	0.058080
chr6	40000000	50000000	0	1.000000
chr6	50000000	60000000	0	1.000000
chr6	60000000	70000000	0	1.000000
chr6	70000000	80000000	0	1.000000
chr6	80000000	90000000	0	1.000000
chr6	90000000	100000000	0	1.000000
chr6	100000000	110000000	1	0.023643
chr6	110000000	120000000	0	1.000000
chr6	120000000	130000000	0	1.000000
chr6	130000000	140000000	0	1.000000
chr6	140000000	150000000	0	1.000000
chr6	150000000	160000000	0	1.000000
chr6	160000000	170000000	0	1.000000
chr6	170000000	171115067	0	1.000000
chr7	0	10000000	0	1.000000
chr7	10000000	20000000	0	1.000000
chr7	20000000	30000000	0	1.000000
chr7	30000000	40000000	0	1.000000
chr7	40000000	50000000	0	1.000000
chr7	50000000	60000000	3	0.003091
chr7	60000000	70000000	0	1.000000
chr7	70000000	80000000	0	1.000000
chr7	80000000	90000000	0	1.000000
chr7	90000000	100000000	0	1.000000
chr7	100000000	110000000	0	1.000000
chr7	110000000	120000000	0	1.000000
chr7	120000000	130000000	0	1.000000
chr7	130000000	140000000	0	1.000000
chr7	140000000	150000000	0	1.000000
chr7	150000000	159138663	0	1.000000
chr8	0	10000000	0	1.000000
chr8	10000000	20000000	0	1.000000
chr8	20000000	30000000	0	1.000000
chr8	30000000	40000000	1	0.061754
chr8	40000000	50000000	1	0.065947
chr8	50000000	60000000	0	1.000000
chr8	60000000	70000000	1	0.083533
chr8	70000000	80000000	1	0.152642
chr8	80000000	90000000	1	0.080847
chr8	90000000	100000000	0	1.000000
chr8	100000000	110000000	1	0.078870
chr8	110000000	120000000	1	0.098995
chr8	120000000	130000000	1	0.134200
chr8	130000000	140000000	1	0.134201
chr8	140000000	146364022	1	0.085558
chr9	0	10000000	0	1.000000
chr9	10000000	20000000	0	1.000000
chr9	20000000	30000000	0	1.000000
chr9	30000000	40000000	0	1.000000
chr9	40000000	50000000	0	1.000000
chr9	50000000	60000000	0	1.000000
chr9	60000000	70000000	0	1.000000
chr9	70000000	80000000	0	1.000000
chr9	80000000	90000000	0	1.000000
chr9	90000000	100000000	0	1.000000
chr9	100000000	110000000	0	1.000000
chr9	110000000	120000000	0	1.000000
chr9	120000000	130000000	0	1.000000
chr9	130000000	140000000	0	1.000000
chr9	140000000	141213431	0	1.000000
chrX	0	10000000	0	1.000000
chrX	10000000	20000000	0	1.000000
chrX	20000000	30000000	0	1.000000
chrX	30000000	40000000	0	1.000000
chrX	40000000	50000000	0	1.000000
chrX	50000000	60000000	0	1.000000
chrX	60000000	70000000	0	1.000000
chrX	70000000	80000000	0	1.000000
chrX	80000000	90000000	0	1.000000
chrX	90000000	100000000	0	1.000000
chrX	100000000	110000000	0	1.000000
chrX	110000000	120000000	0	1.000000
chrX	120000000	130000000	0	1.000000
chrX	130000000	140000000	0	1.000000
chrX	140000000	150000000	0	1.000000
chrX	150000000	155270560	0	1.000000
chrY	0	10000000	0	1.000000
chrY	10000000	20000000	0	1.000000
chrY	20000000	30000000	0	1.000000
chrY	30000000	40000000	0	1.000000
chrY	40000000	50000000	0	1.000000
chrY	50000000	59373566	0	1.000000
